S_No,Year_of_Release,Variety_Name,Common_Name,Notification_No,Type,Maturity,Cane_Yield_t_ha,Sucrose_Percent,CCS_Percent,CCS_Yield_t_ha,Red_Rot_Resistance,Smut_Resistance,Drought_Tolerance,Salinity_Tolerance,Waterlogging_Tolerance,Ratooning_Ability,Recommended_States,Zone,Special_Features,Planting_Season
1,2025,CoS 17231,Bismil,S.O. 6123(E),Early maturity variety,Early,,,,,Moderately Resistant,,,,,,"Punjab, Haryana, Rajasthan, Central and western Uttar Pradesh and Uttarakhand",North West Zone,,
2,2025,Co 18022,Karan18,S.O. 6123(E),Mid-late maturity variety,Mid-late,,,,,,,,,,,,"Punjab, Haryana, Rajasthan, Central and western Uttar Pradesh and Uttarakhand",North West Zone,,
3,2025,CoPb 18213,CoPb 100,S.O. 6123(E),Mid-late maturity variety,Mid-late,,,,,,,,,,,,"Punjab, Haryana, Rajasthan, Central and western Uttar Pradesh and Uttarakhand",North West Zone,,
4,2025,Rudrur Cheruku 81,,S.O. 2128 (E),,,,,,,,,,,,,,Telangana,,,
5,2025,CoN-18071,Madhuri (GNS13),S.O. 2128 (E),,,,,,,,,,,,,,Gujarat,,,
6,2024,CoVC18061,,S.O. 4388(E),Non flowering,Mid-late,70-80 t/acre,,,,,,,Yes,,Good,"Karnataka",,Excellent for Jaggery making,
7,2024,Co 17018,Karan 17,S.O. 4388(E),Mid-late maturity,Mid-late (330-360 days),914.8,18.38,12.78,114,Resistant to Moderately Resistant,Resistant to Susceptible,Yes,Yes,,,"Haryana, Punjab, Rajasthan, Uttarakhand, Central and Western Uttar Pradesh",North West Zone,Least susceptible to shoot borer/stalk borer/top borer,Irrigated timely to late sown
8,2024,CoS 16233,Roshan,S.O. 4388(E),Mid-late maturity,Mid-late,,,,,,,,,Yes,Good,"Punjab, Haryana, Uttarakhand, Rajasthan, Central and Western part of Uttar Pradesh",North West Zone,Tall medium thick stalks with wax coating,
9,2024,CoLk 16202,IKHSU-16,S.O. 4388(E),Early maturity,Early (10 months),932,17.74,,114,Moderately Resistant,Moderately Resistant,Yes,,,,"Punjab, Haryana, Uttarakhand, Rajasthan, Central and Western part of Uttar Pradesh",North West Zone,,Irrigated
10,2024,CoLk 16470,IKHSU-17,S.O. 4388(E),Mid-late,Mid-late (360 days),825,17.37,,95.9,Moderately Resistant,Moderately Resistant,,,,,"Eastern Part of Uttar Pradesh, Bihar, Jharkhand, West Bengal and Assam",North Central Zone,Excellent under waterlogged condition,
11,2024,CoPb 17215,CoPb 99,S.O. 4388(E),Mid-late maturity,Mid-late (12 months),901.4,18.01,,112,Moderately Resistant to Resistant,,,,,,,"Punjab, Haryana, Uttarakhand, Rajasthan, Central and Western part of Uttar Pradesh",North West Zone,Less susceptible to shoot borer/stalk borer/top borer,Spring season
12,2024,CoSnk 15102,SNK 09211,S.O. 4388(E),,,,,,,,,,,,,,Karnataka,,,
13,2024,CoSnk 15104,SNK 09227,S.O. 4388(E),,,,,,,,,,,,,,Karnataka,,,
14,2024,CoSnk 09293,Sharad SNK 09293,S.O. 4388(E),,,,,,,,,,,,,,Karnataka,,,
15,2024,MS-17082,Phule Sugarcane 15012,S.O. 4388(E),,,,,,,,,,,,,,Maharashtra,,,
16,2024,CoP 16437,Rajendra Ganna-1,S.O. 4388(E),Early maturity,Early,,,,,,,,,,,,"Eastern Uttar Pradesh, West Bengal and Assam",North Central Zone,,
17,2024,CoSe 11453,Genda,S.O. 1560 (E),,Mid-late,78.38,17.21,,9.59,Moderately Resistant,,,,,,,"Eastern U.P., Assam & W.B.",North Central Zone,,
18,2024,CoN 13072,Divyanshi (GNS-12),S.O. 1560 (E),,,,,,,,,,,,,,Gujarat,,,
19,2023,CoS 15233,,State Varietal Release Committee,Mid late,Mid-late,,,,,Moderately Resistant,,,,,Good,Uttar Pradesh,,Low incidence of top borer/stem borer/shoot borer,
20,2023,CoM 11082,,S.O. 1056 (E),Early maturing,Early,,,,,Moderately Resistant,,,,,,Good,Maharashtra,,"Substitute for CoC 671, Suru and preseason",
