system_index,latitude,longitude,ndvi,region
0,31.14490531077325,74.99445910602786,0.5779519,Punjab
1,31.14490531077325,74.99499809519834,0.6330645,Punjab
2,31.14490531077325,74.99526758978358,0.57675904,Punjab
3,31.14490531077325,74.99589641048246,0.5178967,Punjab
4,31.14490531077325,74.9961659050677,0.55660677,Punjab
5,31.14490531077325,74.9985015248064,0.61127776,Punjab
6,31.14490531077325,74.99904051397688,0.5660599,Punjab
7,31.14490531077325,74.99913034550529,0.5502392,Punjab
8,31.14490531077325,74.9992201770337,0.45118392,Punjab
9,31.14490531077325,74.99957950314734,0.27448508,Punjab
10,31.14490531077325,74.999938829261,0.25099957,Punjab
11,31.14490531077325,75.00083714454512,0.37424242,Punjab
12,31.14490531077325,75.00101680760194,0.2889073,Punjab
13,31.14490531077325,75.00110663913036,0.13245383,Punjab
14,31.14490531077325,75.00155579677241,-0.16420014,Punjab
15,31.14490531077325,75.00263377511335,0.062652566,Punjab
16,31.14490531077325,75.00272360664177,0.062652566,Punjab
17,31.14490531077325,75.00290326969859,0.13192369,Punjab
18,31.14490531077325,75.00326259581223,0.5967614,Punjab
19,31.14490531077325,75.00335242734064,0.5967614,Punjab
20,31.14490531077325,75.00407107956795,0.5631301,Punjab
21,31.14490531077325,75.00532872096571,0.53900176,Punjab
22,31.14490531077325,75.00541855249412,0.5484205,Punjab
23,31.14490531077325,75.00712535153396,-0.0034111782,Punjab
24,31.14490531077325,75.0074846776476,-0.13679591,Punjab
25,31.14490531077325,75.00766434070442,-0.1952068,Punjab
26,31.14490531077325,75.00784400376125,-0.20516717,Punjab
27,31.14490531077325,75.00811349834649,-0.14616498,Punjab
28,31.14490531077325,75.00820332987489,-0.22430608,Punjab
29,31.14490531077325,75.00874231904537,-0.1826428,Punjab
30,31.14490531077325,75.00919147668742,-0.21076234,Punjab
31,31.14490531077325,75.00937113974425,-0.19495922,Punjab
32,31.14490531077325,75.00955080280107,-0.22422384,Punjab
33,31.14490531077325,75.00991012891473,-0.04896907,Punjab
34,31.14490531077325,75.01035928655678,0.2467354,Punjab
35,31.14490531077325,75.01116777031248,0.24062712,Punjab
36,31.144995142301664,74.99463876908469,0.535289,Punjab
37,31.144995142301664,74.99499809519834,0.5138122,Punjab
38,31.144995142301664,74.99733371493704,0.56414765,Punjab
39,31.144995142301664,74.9976930410507,0.56217057,Punjab
40,31.144995142301664,74.99778287257911,0.56217057,Punjab
41,31.144995142301664,74.99814219869276,0.56718343,Punjab
42,31.144995142301664,74.99841169327799,0.5889754,Punjab
43,31.144995142301664,74.9985015248064,0.6026332,Punjab
44,31.144995142301664,74.99939984009052,0.32144213,Punjab
45,31.144995142301664,75.00200495441447,-0.14571072,Punjab
46,31.144995142301664,75.00209478594289,-0.14571072,Punjab
47,31.144995142301664,75.00281343817018,-0.06657323,Punjab
48,31.144995142301664,75.002993101227,-0.024454726,Punjab
49,31.144995142301664,75.00362192192588,0.44645107,Punjab
50,31.144995142301664,75.00389141651112,0.5424403,Punjab
51,31.144995142301664,75.00434057415318,0.54010695,Punjab
52,31.144995142301664,75.00461006873842,0.5687744,Punjab
53,31.144995142301664,75.00505922638048,0.64296997,Punjab
54,31.144995142301664,75.00532872096571,0.59803116,Punjab
55,31.144995142301664,75.0059575416646,0.38616684,Punjab
56,31.144995142301664,75.00685585694872,-0.08063404,Punjab
57,31.144995142301664,75.0074846776476,-0.18232454,Punjab
58,31.144995142301664,75.00766434070442,-0.23480988,Punjab
59,31.144995142301664,75.00964063432949,-0.16997167,Punjab
60,31.144995142301664,75.00999996044314,0.21973094,Punjab
61,31.144995142301664,75.01035928655678,0.21987393,Punjab
62,31.144995142301664,75.01044911808519,0.19725819,Punjab
63,31.144995142301664,75.01098810725567,0.14038537,Punjab
64,31.14508497383008,74.99454893755627,0.45116773,Punjab
65,31.14508497383008,74.9947286006131,0.40862656,Punjab
66,31.14508497383008,74.99508792672675,0.43362334,Punjab
67,31.14508497383008,74.99661506270975,0.5642176,Punjab
68,31.14508497383008,74.99670489423816,0.56393635,Punjab
69,31.14508497383008,74.99733371493704,0.57339585,Punjab
70,31.14508497383008,74.99814219869276,0.5533466,Punjab
71,31.14508497383008,74.9985015248064,0.6126506,Punjab
72,31.14508497383008,74.99877101939164,0.59006214,Punjab
73,31.14508497383008,74.99975916620417,0.24305819,Punjab
74,31.14508497383008,75.00020832384624,0.2605621,Punjab
75,31.14508497383008,75.00029815537464,0.24402606,Punjab
76,31.14508497383008,75.00137613371558,0.03259005,Punjab
77,31.14508497383008,75.00326259581223,-0.029980013,Punjab
78,31.14508497383008,75.00344225886906,0.005221932,Punjab
79,31.14508497383008,75.00380158498271,0.28549773,Punjab
80,31.14508497383008,75.00496939485207,0.5380694,Punjab
81,31.14508497383008,75.00685585694872,-0.19011976,Punjab
82,31.14508497383008,75.00712535153396,-0.13714285,Punjab
83,31.14508497383008,75.00739484611918,-0.19310087,Punjab
84,31.14508497383008,75.00838299293171,-0.25086704,Punjab
85,31.14508497383008,75.00982029738631,0.21768141,Punjab
86,31.14508497383008,75.01017962349995,0.19199692,Punjab
87,31.14508497383008,75.01098810725567,0.13886733,Punjab
88,31.145174805358486,74.9955370843688,0.39415413,Punjab
89,31.145174805358486,74.99715405188023,0.5752993,Punjab
90,31.145174805358486,74.99751337799387,0.54542637,Punjab
91,31.145174805358486,74.99841169327799,0.62891424,Punjab
92,31.145174805358486,74.9985015248064,0.61422545,Punjab
93,31.145174805358486,74.99859135633481,0.6038025,Punjab
94,31.145174805358486,74.99939984009052,0.48538333,Punjab
95,31.145174805358486,74.99966933467576,0.3538276,Punjab
96,31.145174805358486,74.999938829261,0.23239437,Punjab
97,31.145174805358486,75.001465965244,0.21682562,Punjab
98,31.145174805358486,75.00182529135765,-0.13483146,Punjab
99,31.145174805358486,75.00308293275542,-0.16008316,Punjab
100,31.145174805358486,75.00353209039747,-0.09084328,Punjab
101,31.145174805358486,75.00398124803954,0.023004059,Punjab
102,31.145174805358486,75.00505922638048,0.39522547,Punjab
103,31.145174805358486,75.00532872096571,0.37750512,Punjab
104,31.145174805358486,75.00640669930665,-0.19782777,Punjab
105,31.145174805358486,75.00658636236348,-0.18112245,Punjab
106,31.145174805358486,75.00694568847713,-0.18983558,Punjab
107,31.145174805358486,75.00721518306236,-0.2516658,Punjab
108,31.145174805358486,75.00793383528966,-0.25173923,Punjab
109,31.145174805358486,75.00847282446013,-0.19840406,Punjab
110,31.145174805358486,75.00874231904537,-0.2367647,Punjab
111,31.145174805358486,75.00964063432949,-0.100908875,Punjab
112,31.145174805358486,75.0105389496136,0.1719243,Punjab
113,31.1452646368869,74.99463876908469,0.4284153,Punjab
114,31.1452646368869,74.9947286006131,0.4293449,Punjab
115,31.1452646368869,74.99508792672675,0.4,Punjab
116,31.1452646368869,74.99517775825517,0.38381502,Punjab
117,31.1452646368869,74.99562691589722,0.39567503,Punjab
118,31.1452646368869,74.99589641048246,0.38051045,Punjab
119,31.1452646368869,74.99724388340864,0.6004458,Punjab
120,31.1452646368869,74.99823203022117,0.58870727,Punjab
121,31.1452646368869,74.99877101939164,0.56284827,Punjab
122,31.1452646368869,74.99904051397688,0.46612623,Punjab
123,31.1452646368869,74.99948967161893,0.3902439,Punjab
124,31.1452646368869,74.999938829261,0.2818545,Punjab
125,31.1452646368869,75.00002866078941,0.21491681,Punjab
126,31.1452646368869,75.00047781843146,0.15732892,Punjab
127,31.1452646368869,75.00101680760194,0.15368596,Punjab
128,31.1452646368869,75.00155579677241,0.25514773,Punjab
129,31.1452646368869,75.0021846174713,-0.18357547,Punjab
130,31.1452646368869,75.0022744489997,-0.14438123,Punjab
131,31.1452646368869,75.00281343817018,-0.18961789,Punjab
132,31.1452646368869,75.00326259581223,-0.15361744,Punjab
133,31.1452646368869,75.00389141651112,-0.115666844,Punjab
134,31.1452646368869,75.00398124803954,-0.115666844,Punjab
135,31.1452646368869,75.00452023721,0.060778312,Punjab
136,31.1452646368869,75.00505922638048,0.077610984,Punjab
137,31.1452646368869,75.00568804707936,0.09677419,Punjab
138,31.1452646368869,75.00586771013619,0.05589798,Punjab
