system_index,latitude,longitude,ndvi,region
0,12.392663586306652,76.80519322422758,0.5754717,Mandya
1,12.392663586306652,76.805283055756,0.5588668,Mandya
2,12.392663586306652,76.8053728872844,0.57580096,Mandya
3,12.392663586306652,76.80546271881282,0.58780164,Mandya
4,12.392663586306652,76.80555255034123,0.57447535,Mandya
5,12.392663586306652,76.80564238186965,0.57549703,Mandya
6,12.392663586306652,76.80573221339806,0.5731565,Mandya
7,12.392663586306652,76.80582204492647,0.5763586,Mandya
8,12.392663586306652,76.80591187645489,0.5613331,Mandya
9,12.392663586306652,76.8060017079833,0.584029,Mandya
10,12.392663586306652,76.8060915395117,0.5468255,Mandya
11,12.392663586306652,76.80618137104011,0.5468255,Mandya
12,12.392663586306652,76.80627120256852,0.559096,Mandya
13,12.392663586306652,76.80636103409694,0.57056147,Mandya
14,12.392663586306652,76.80645086562535,0.5602431,Mandya
15,12.392663586306652,76.80654069715376,0.6009118,Mandya
16,12.392663586306652,76.80663052868218,0.6300578,Mandya
17,12.392663586306652,76.80672036021059,0.6101034,Mandya
18,12.392663586306652,76.806810191739,0.5125737,Mandya
19,12.392663586306652,76.80690002326742,0.49431643,Mandya
20,12.392663586306652,76.80698985479583,0.5072091,Mandya
21,12.392663586306652,76.80707968632423,0.49825582,Mandya
22,12.392663586306652,76.80716951785264,0.44825613,Mandya
23,12.392663586306652,76.80725934938106,0.4476309,Mandya
24,12.392663586306652,76.80734918090947,0.44512194,Mandya
25,12.392753417835063,76.80519322422758,0.5819342,Mandya
26,12.392753417835063,76.805283055756,0.58583105,Mandya
27,12.392753417835063,76.8053728872844,0.57602143,Mandya
28,12.392753417835063,76.80546271881282,0.56914455,Mandya
29,12.392753417835063,76.80555255034123,0.55380934,Mandya
30,12.392753417835063,76.80564238186965,0.58759373,Mandya
31,12.392753417835063,76.80573221339806,0.56819814,Mandya
32,12.392753417835063,76.80582204492647,0.5583609,Mandya
33,12.392753417835063,76.80591187645489,0.59470105,Mandya
34,12.392753417835063,76.8060017079833,0.57627994,Mandya
35,12.392753417835063,76.8060915395117,0.57627994,Mandya
36,12.392753417835063,76.80618137104011,0.5734961,Mandya
37,12.392753417835063,76.80627120256852,0.5827755,Mandya
38,12.392753417835063,76.80636103409694,0.58242613,Mandya
39,12.392753417835063,76.80645086562535,0.5839653,Mandya
40,12.392753417835063,76.80654069715376,0.56693214,Mandya
41,12.392753417835063,76.80663052868218,0.6286885,Mandya
42,12.392753417835063,76.80672036021059,0.6637998,Mandya
43,12.392753417835063,76.806810191739,0.62015504,Mandya
44,12.392753417835063,76.80690002326742,0.555788,Mandya
45,12.392753417835063,76.80698985479583,0.58082193,Mandya
46,12.392753417835063,76.80707968632423,0.5523171,Mandya
47,12.392753417835063,76.80716951785264,0.48043108,Mandya
48,12.392753417835063,76.80725934938106,0.46124375,Mandya
49,12.392753417835063,76.80734918090947,0.42781612,Mandya
50,12.392843249363477,76.80519322422758,0.5268888,Mandya
51,12.392843249363477,76.805283055756,0.60514206,Mandya
52,12.392843249363477,76.8053728872844,0.62899154,Mandya
53,12.392843249363477,76.80546271881282,0.6180514,Mandya
54,12.392843249363477,76.80555255034123,0.52449965,Mandya
55,12.392843249363477,76.80564238186965,0.545892,Mandya
56,12.392843249363477,76.80573221339806,0.57938427,Mandya
57,12.392843249363477,76.80582204492647,0.6050306,Mandya
58,12.392843249363477,76.80591187645489,0.5998641,Mandya
59,12.392843249363477,76.8060017079833,0.55083245,Mandya
60,12.392843249363477,76.8060915395117,0.55083245,Mandya
61,12.392843249363477,76.80618137104011,0.55926126,Mandya
62,12.392843249363477,76.80627120256852,0.5583585,Mandya
63,12.392843249363477,76.80636103409694,0.5903323,Mandya
64,12.392843249363477,76.80645086562535,0.60125345,Mandya
65,12.392843249363477,76.80654069715376,0.5502301,Mandya
66,12.392843249363477,76.80663052868218,0.5499182,Mandya
67,12.392843249363477,76.80672036021059,0.6088061,Mandya
68,12.392843249363477,76.806810191739,0.6277405,Mandya
69,12.392843249363477,76.80690002326742,0.64875436,Mandya
70,12.392843249363477,76.80698985479583,0.6026273,Mandya
71,12.392843249363477,76.80707968632423,0.60604364,Mandya
72,12.392843249363477,76.80716951785264,0.574776,Mandya
73,12.392843249363477,76.80725934938106,0.5342908,Mandya
74,12.392843249363477,76.80734918090947,0.4696216,Mandya
75,12.392933080891888,76.80519322422758,0.5062143,Mandya
76,12.392933080891888,76.805283055756,0.56717646,Mandya
77,12.392933080891888,76.8053728872844,0.66459274,Mandya
78,12.392933080891888,76.80546271881282,0.6325319,Mandya
79,12.392933080891888,76.80555255034123,0.5549205,Mandya
80,12.392933080891888,76.80564238186965,0.5605979,Mandya
81,12.392933080891888,76.80573221339806,0.5807739,Mandya
82,12.392933080891888,76.80582204492647,0.5853575,Mandya
83,12.392933080891888,76.80591187645489,0.5854351,Mandya
84,12.392933080891888,76.8060017079833,0.56711006,Mandya
85,12.392933080891888,76.8060915395117,0.56711006,Mandya
86,12.392933080891888,76.80618137104011,0.57172775,Mandya
87,12.392933080891888,76.80627120256852,0.5598751,Mandya
88,12.392933080891888,76.80636103409694,0.5703096,Mandya
89,12.392933080891888,76.80645086562535,0.58246654,Mandya
90,12.392933080891888,76.80654069715376,0.5708922,Mandya
91,12.392933080891888,76.80663052868218,0.57169956,Mandya
92,12.392933080891888,76.80672036021059,0.564,Mandya
93,12.392933080891888,76.806810191739,0.61835563,Mandya
94,12.392933080891888,76.80690002326742,0.65446043,Mandya
