State_Name,District_Name,Crop_Year,Season,Area (Hectare),Production (Tonnes),yield (Tonne/Hectare)
Andhra Pradesh,EAST GODAVARI,2007,Whole Year,17000.0,1488000.0,87.52941176
Andhra Pradesh,EAST GODAVARI,2008,Whole Year,13592.0,1159182.0,85.28413773
Andhra Pradesh,EAST GODAVARI,2009,Whole Year,10879.0,1017609.0,93.53883629
Andhra Pradesh,EAST GODAVARI,2010,Whole Year,13051.0,1086471.0,83.24810359
Andhra Pradesh,EAST GODAVARI,2011,Whole Year,12618.0,1069560.0,84.76462197
Andhra Pradesh,EAST GODAVARI,2012,Kharif,13909.0,1111275.0,79.89611043
Andhra Pradesh,EAST GODAVARI,2013,Kharif,13857.0,1165341.0,84.09764018
Andhra Pradesh,EAST GODAVARI,2014,Kharif,12405.0,1056420.0,85.16082225
Andhra Pradesh,GUNTUR,1997,Kharif,1600.0,109600.0,68.5
Andhra Pradesh,GUNTUR,1998,Whole Year,2100.0,150300.0,71.57142857
Andhra Pradesh,GUNTUR,1999,Whole Year,2229.0,182780.0,82.00089726
Andhra Pradesh,GUNTUR,2000,Whole Year,1696.0,135426.0,79.85023585
Andhra Pradesh,GUNTUR,2001,Whole Year,1700.0,139080.0,81.81176471
Andhra Pradesh,GUNTUR,2002,Whole Year,1738.0,114932.0,66.12888377
Andhra Pradesh,GUNTUR,2003,Whole Year,1547.0,110569.0,71.47317388
Andhra Pradesh,GUNTUR,2004,Whole Year,1972.0,150690.0,76.4148073
Andhra Pradesh,GUNTUR,2005,Whole Year,1953.0,138788.0,71.0640041
Andhra Pradesh,GUNTUR,2006,Whole Year,1721.0,135923.0,78.97908193
Andhra Pradesh,GUNTUR,2007,Whole Year,2000.0,117000.0,58.5
Andhra Pradesh,GUNTUR,2008,Whole Year,762.0,57402.0,75.33070866
Andhra Pradesh,GUNTUR,2009,Whole Year,409.0,41203.0,100.7408313
Andhra Pradesh,GUNTUR,2010,Whole Year,908.0,77430.0,85.2753304
Andhra Pradesh,GUNTUR,2011,Whole Year,967.0,100572.0,104.0041365
Andhra Pradesh,GUNTUR,2012,Kharif,573.0,53792.0,93.87783595
Andhra Pradesh,GUNTUR,2013,Kharif,420.0,43200.0,102.8571429
Andhra Pradesh,GUNTUR,2014,Kharif,470.0,46102.0,98.0893617
Andhra Pradesh,KADAPA,1997,Kharif,200.0,19300.0,96.5
Andhra Pradesh,KADAPA,1998,Whole Year,400.0,38200.0,95.5
Andhra Pradesh,KADAPA,1999,Whole Year,425.0,40844.0,96.10352941
Andhra Pradesh,KADAPA,2000,Whole Year,356.0,32880.0,92.35955056
Andhra Pradesh,KADAPA,2001,Whole Year,674.0,62755.0,93.10830861
Andhra Pradesh,KADAPA,2002,Whole Year,1063.0,78516.0,73.86265287
Andhra Pradesh,KADAPA,2003,Whole Year,555.0,40233.0,72.49189189
Andhra Pradesh,KADAPA,2004,Whole Year,377.0,33563.0,89.0265252
Andhra Pradesh,KADAPA,2005,Whole Year,922.0,88323.0,95.79501085
Andhra Pradesh,KADAPA,2006,Whole Year,2056.0,201081.0,97.8020428
