state_name,district_name,year,season,area_hectare,yield_t_ha,yield_tons_per_hectare,state,district,yield,ndvi_region,source_region,ndvi_mean,ndvi_max,ndvi_min,ndvi_std,variety,prev_year_yield,yield_3yr_avg,historical_avg_yield
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,,Whole Year,71.3,2103.786816,,Andaman And Nicobar Islands,North And Middle Andaman,2103.786816,,,,,,,Co 86032,2937.037037,1684.3166195766669,1238.0203384505883
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,,Autumn,73.33,1212.600573,,Andaman And Nicobar Islands,North And Middle Andaman,1212.600573,,,,,,,Co 86032,2103.786816,2084.474808666667,1238.0203384505883
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,,Autumn,105.0,1801.904762,,Andaman And Nicobar Islands,North And Middle Andaman,1801.904762,,,,,,,Co 86032,1212.600573,1706.0973836666665,1238.0203384505883
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,,Autumn,205.4,2253.0185,,Andaman And Nicobar Islands,North And Middle Andaman,2253.0185,,,,,,,Co 86032,1801.904762,1755.8412783333333,1238.0203384505883
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,,Autumn,201.0,2340.597015,,Andaman And Nicobar Islands,North And Middle Andaman,2340.597015,,,,,,,Co 86032,2253.0185,2131.8400923333334,1238.0203384505883
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,,Autumn,108.0,1428.703704,,Andaman And Nicobar Islands,North And Middle Andaman,1428.703704,,,,,,,Co 86032,2340.597015,2007.4397396666666,1238.0203384505883
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,,Autumn,48.5,1711.340206,,Andaman And Nicobar Islands,North And Middle Andaman,1711.340206,,,,,,,Co 86032,1428.703704,1826.8803083333332,1238.0203384505883
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,,Autumn,44.7,1108.814318,,Andaman And Nicobar Islands,North And Middle Andaman,1108.814318,,,,,,,Co 86032,1711.340206,1416.286076,1238.0203384505883
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,,Autumn,54.05,284.4218316,,Andaman And Nicobar Islands,North And Middle Andaman,284.4218316,,,,,,,Co 86032,1108.814318,1034.8587852,1238.0203384505883
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,,Autumn,94.83,406.4431087,,Andaman And Nicobar Islands,North And Middle Andaman,406.4431087,,,,,,,Co 86032,284.4218316,599.8930861,1238.0203384505883
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,,Autumn,61.31,719.0017942,,Andaman And Nicobar Islands,North And Middle Andaman,719.0017942,,,,,,,Co 86032,406.4431087,469.9555781666666,1238.0203384505883
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,,Whole Year,141.0,2649.64539,,Andaman And Nicobar Islands,North And Middle Andaman,2649.64539,,,,,,,Co 86032,719.0017942,1258.3634309666666,1238.0203384505883
Andaman and Nicobar Islands,SOUTH ANDAMANS,,Whole Year,455.0,30.24175824,,Andaman And Nicobar Islands,South Andamans,30.24175824,,,,,,,Co 86032,,30.24175824,1324.5265002921903
Andaman and Nicobar Islands,SOUTH ANDAMANS,,Whole Year,268.0,10.74447761,,Andaman And Nicobar Islands,South Andamans,10.74447761,,,,,,,Co 86032,30.24175824,20.493117925,1324.5265002921903
Andaman and Nicobar Islands,SOUTH ANDAMANS,,Whole Year,145.26,10.7393639,,Andaman And Nicobar Islands,South Andamans,10.7393639,,,,,,,Co 86032,10.74447761,17.241866583333334,1324.5265002921903
Andaman and Nicobar Islands,SOUTH ANDAMANS,,Whole Year,128.02,19.12357444,,Andaman And Nicobar Islands,South Andamans,19.12357444,,,,,,,Co 86032,10.7393639,13.535805316666668,1324.5265002921903
Andaman and Nicobar Islands,SOUTH ANDAMANS,,Whole Year,53.5,18.68224299,,Andaman And Nicobar Islands,South Andamans,18.68224299,,,,,,,Co 86032,19.12357444,16.18172711,1324.5265002921903
Andaman and Nicobar Islands,SOUTH ANDAMANS,,Autumn,67.5,5.955555556,,Andaman And Nicobar Islands,South Andamans,5.955555556,,,,,,,Co 86032,18.68224299,14.587124328666667,1324.5265002921903
Andaman and Nicobar Islands,SOUTH ANDAMANS,,Whole Year,455.0,3024.175824,,Andaman And Nicobar Islands,South Andamans,3024.175824,,,,,,,Co 86032,5.955555556,1016.2712075153332,1324.5265002921903
Andaman and Nicobar Islands,SOUTH ANDAMANS,,Whole Year,268.0,1074.447761,,Andaman And Nicobar Islands,South Andamans,1074.447761,,,,,,,Co 86032,3024.175824,1368.1930468519997,1324.5265002921903
Andaman and Nicobar Islands,SOUTH ANDAMANS,,Whole Year,145.26,1073.93639,,Andaman And Nicobar Islands,South Andamans,1073.93639,,,,,,,Co 86032,1074.447761,1724.1866583333333,1324.5265002921903
Andaman and Nicobar Islands,SOUTH ANDAMANS,,Whole Year,128.02,1912.357444,,Andaman And Nicobar Islands,South Andamans,1912.357444,,,,,,,Co 86032,1073.93639,1353.5805316666667,1324.5265002921903
Andaman and Nicobar Islands,SOUTH ANDAMANS,,Whole Year,53.5,1868.224299,,Andaman And Nicobar Islands,South Andamans,1868.224299,,,,,,,Co 86032,1912.357444,1618.172711,1324.5265002921903
Andaman and Nicobar Islands,SOUTH ANDAMANS,,Autumn,67.5,595.5555556,,Andaman And Nicobar Islands,South Andamans,595.5555556,,,,,,,Co 86032,1868.224299,1458.7124328666669,1324.5265002921903
Andaman and Nicobar Islands,SOUTH ANDAMANS,,Autumn,61.8,909.3851133,,Andaman And Nicobar Islands,South Andamans,909.3851133,,,,,,,Co 86032,595.5555556,1124.3883226333335,1324.5265002921903
Andaman and Nicobar Islands,SOUTH ANDAMANS,,Autumn,62.5,2003.2,,Andaman And Nicobar Islands,South Andamans,2003.2,,,,,,,Co 86032,909.3851133,1169.3802229666667,1324.5265002921903
Andaman and Nicobar Islands,SOUTH ANDAMANS,,Autumn,57.5,3579.130435,,Andaman And Nicobar Islands,South Andamans,3579.130435,,,,,,,Co 86032,2003.2,2163.9051827666667,1324.5265002921903
Andaman and Nicobar Islands,SOUTH ANDAMANS,,Autumn,59.8,3608.695652,,Andaman And Nicobar Islands,South Andamans,3608.695652,,,,,,,Co 86032,3579.130435,3063.6753623333334,1324.5265002921903
